id;date;details;status;payment_method;payment_date;payment_amount;code;order_id
1;2022-08-24T06:29:03;RAM systemic;PAID;CASH_ON_DELIVERY;2022-08-24T10:54:58;5801;Infrastructure gold Grove;1
2;2022-08-24T03:19:09;Soft program;CANCELLED;CREDIT_CARD;2022-08-24T05:53:33;92692;Consultant;2
3;2022-08-24T12:56:14;reciprocal;ISSUED;PAYPAL;2022-08-24T10:31:55;56857;Home;3
4;2022-08-24T14:30:11;Bhutanese;CANCELLED;PAYPAL;2022-08-24T16:19:44;87472;parse intuitive Division;4
5;2022-08-24T05:16:29;back-end synergy transmitting;CANCELLED;CASH_ON_DELIVERY;2022-08-24T03:41:39;98367;Gloves visualize;5
6;2022-08-23T23:56:37;function;CANCELLED;CREDIT_CARD;2022-08-24T18:47:23;85471;Director;6
7;2022-08-24T15:40:11;Maine;PAID;CREDIT_CARD;2022-08-24T00:56:25;11254;customized hub;7
8;2022-08-24T10:14:57;Agent Towels Groves;PAID;PAYPAL;2022-08-24T00:34:40;83224;interactive deposit Electronics;8
9;2022-08-24T02:43:17;Concrete Toys Plains;PAID;CREDIT_CARD;2022-08-24T08:13:38;34085;Wooden Intuitive applications;9
10;2022-08-24T19:33:18;Arizona Vermont system;ISSUED;CREDIT_CARD;2022-08-24T05:45:55;6974;CSS;10
